Value,HRUCODE,HRUDESC,FRAC
1,10221,Open_Space-A-High-1,1
2,11221,Forest-A-High-1,1
3,11421,Forest-C-High-1,1
4,11421,Forest-C-High-1,1
5,11221,Forest-A-High-1,1
6,10421,Open_Space-C-High-1,1
7,10221,Open_Space-A-High-1,1
8,10421,Open_Space-C-High-1,1
9,11221,Forest-A-High-1,1
10,3000,Dev_Residential-All-All-All,0.56448504
10,6420,Dev_Pervious-C-High-All,0.43551496
11,10221,Open_Space-A-High-1,1
12,11221,Forest-A-High-1,1
13,4001,Dev_Roof-All-All-1,0.56448504
13,6420,Dev_Pervious-C-High-All,0.43551496
14,10221,Open_Space-A-High-1,1
15,11221,Forest-A-High-1,1
16,4001,Dev_Roof-All-All-1,0.556982786
16,6410,Dev_Pervious-C-Low-All,0.443017214
17,10221,Open_Space-A-High-1,1
18,11421,Forest-C-High-1,1
19,11421,Forest-C-High-1,1
20,10421,Open_Space-C-High-1,1
21,3000,Dev_Residential-All-All-All,0.556982786
21,6410,Dev_Pervious-C-Low-All,0.443017214
22,11411,Forest-C-Low-1,1
23,10421,Open_Space-C-High-1,1
24,10411,Open_Space-C-Low-1,1
25,11421,Forest-C-High-1,1
26,10211,Open_Space-A-Low-1,1
27,11211,Forest-A-Low-1,1
28,4001,Dev_Roof-All-All-1,0.556982786
28,6410,Dev_Pervious-C-Low-All,0.443017214
29,5002,Dev_Road-All-All-2,0.688017998
29,6420,Dev_Pervious-C-High-All,0.311982002
30,11411,Forest-C-Low-1,1
31,5002,Dev_Road-All-All-2,0.879078388
31,6420,Dev_Pervious-C-High-All,0.120921612
32,10421,Open_Space-C-High-1,1
33,10411,Open_Space-C-Low-1,1
34,4001,Dev_Roof-All-All-1,0.18816168
34,4002,Dev_Roof-All-All-2,0.18816168
34,4003,Dev_Roof-All-All-3,0.18816168
34,6420,Dev_Pervious-C-High-All,0.43551496
35,4001,Dev_Roof-All-All-1,0.185660929
35,4002,Dev_Roof-All-All-2,0.185660929
35,4003,Dev_Roof-All-All-3,0.185660929
35,6410,Dev_Pervious-C-Low-All,0.443017214
